,Country,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,country_code,region,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,age5-19thinness,age5-19obesity,hepatitis,measles,polio,diphtheria,basic_water,doctors,hospitals,gni_capita,gghe-d,che_gdp,une_pop,une_infant,une_life,une_hiv,une_gni,une_poverty,une_edu_spend,une_literacy,une_school,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita,Alcohol_PerCapita
26,Azerbaijan,AZE,2010,2.97,14312.75612,9032465,,AZE,Europe,71.09645,18.0757,131.8231,0.035535,0.00135,1.92164,26.4,2.8,3.2,80,89,85,81,86.606,36.629,,14620,1.01078,4.76776,9032.461,32.8,70.938,,14930,,2.78062,99.77114,10.49677,Central and Eastern Europe,north,5.291,757,3.881,0.2625,0.575,0.0625,0.9
27,Azerbaijan,AZE,2015,4.58,14853.91055,9622741,Asia,AZE,Europe,72.88715,18.83748,119.5036,0.026045,0.000965,4.13854,26.9,2.8,4.6,96,98,98,96,90.03168,,,,1.30262,6.71395,9622.745,23.3,72.266,,17290,,2.95168,99.78806,10.50663,Central and Eastern Europe,north,5.291,757,3.881,0.2625,0.575,0.0625,0.9
28,Bahrain,BHR,2000,1.74,49406.29103,664610,,BHR,Eastern Mediterranean,73.202,17.42385,100.8093,0.01114,0.0004,1.97287,25.5,6.1,11.6,97,98,97,97,99.89794,10.202,,34880,2.35164,3.56133,664.611,10.8,74.44,,34880,,,,,Middle East and Northern Africa,north,6.218,846,22.561,0.525,0.7875,0.0875,1.4
29,Bahrain,BHR,2005,1.76,47493.1484,889157,,BHR,Eastern Mediterranean,74.72092,18.26342,83.48492,0.00999,0.000365,1.916,25.3,6,13.2,98,99,98,98,99.94841,10.436,,38230,2.14727,3.17562,889.164,9.1,75.326,,37500,,,,,Middle East and Northern Africa,north,6.218,846,22.561,0.525,0.7875,0.0875,1.4
30,Bahrain,BHR,2010,1.69,44599.80497,1240864,,BHR,Eastern Mediterranean,77.16619,20.0353,65.97186,0.007435,0.000335,1.96245,25,6,15,99,99,99,99,99.99888,9.493,,36100,2.41983,3.84291,1240.86,7.3,76.057,,36070,,,90.9774,8.01587,Middle East and Northern Africa,north,6.218,846,22.561,0.525,0.7875,0.0875,1.4
31,Bahrain,BHR,2015,1.3,48110.73419,1371853,Asia,BHR,Eastern Mediterranean,78.75326,21.45151,58.51819,0.006445,0.00027,1.52651,24.8,6.1,16.8,98,99,98,98,100,9.257,,,3.22806,4.97507,1371.851,6.5,76.762,,44300,,2.66808,,,Middle East and Northern Africa,north,6.218,846,22.561,0.525,0.7875,0.0875,1.4
32,Belarus,BLR,2000,15.17,8053.173638,9871635,,BLR,Europe,68.28156,16.59403,247.1165,0.009635,0.000735,12.92293,25.7,2.8,3.6,70,98,99,99,99.29858,32.998,,5770,4.30438,5.46676,9871.632,9.9,68.9122,0.1,6010,7.1,6.19662,,,Central and Eastern Europe,north,5.802,805,5.023,1.775,4.6625,0.525,6.9625
33,Belarus,BLR,2005,15.3,11940.1866,9562083,,BLR,Europe,68.26156,16.46106,254.9587,0.00618,0.00051,11.19213,26,2.4,4.4,99,99,98,99,98.83467,33.145,,9670,4.67596,6.27654,9562.088,6.5,68.85122,0.1,10020,0.4,5.87103,,,Central and Eastern Europe,north,5.802,805,5.023,1.775,4.6625,0.525,6.9625
34,Belarus,BLR,2010,17.43,17288.40435,9420576,,BLR,Europe,70.19375,17.48277,225.5392,0.004115,0.00033,14.33877,26.3,2.1,5.6,96,99,99,98,97.53931,32.498,,15080,3.84922,5.65694,9420.574,4.2,70.40488,0.2,15630,,5.09167,,,Central and Eastern Europe,north,5.802,805,5.023,1.775,4.6625,0.525,6.9625
35,Belarus,BLR,2015,12,18307.51967,9439424,Europe,BLR,Europe,73.84335,19.25576,163.0288,0.002925,0.000245,9.72479,26.6,2,7.3,99,99,99,99,96.46445,51.905,,,3.68674,6.06533,9439.423,3,73.62439,0.4,17590,,4.78752,,,Central and Eastern Europe,north,5.802,805,5.023,1.775,4.6625,0.525,6.9625
