,Country,Capital,lat,lng,wine,spirits,beer,region,Code
220,Tajikistan,Dushanbe,38.559772,68.787038,,,,Europe,TJK
222,Thailand,Bangkok,13.756331,100.501765,,,,South-East Asia,THA
223,Timor-Leste,Dili,-8.556856,125.560314,,,,South-East Asia,TLS
224,Togo,Lomé,6.172497,1.231362,,,,Africa,TGO
226,Tonga,Nukuʻalofa,-21.139342,-175.204947,,,,Western Pacific,TON
228,Trinidad and Tobago,Port of Spain,10.654901,-61.501926,,10.0,,Americas,TTO
230,Tunisia,Tunis,36.806495,10.181532,,,,Eastern Mediterranean,TUN
231,Turkey,Ankara,39.933364,32.859742,,1.0,,Europe,TUR
232,Turkmenistan,Ashgabat,37.960077,58.326063,,,,Europe,TKM
236,Uganda,Kampala,0.347596,32.58252,,,,Africa,UGA
237,Ukraine,Kiev,50.4501,30.5234,,3.0,,Europe,UKR
238,United Arab Emirates,Abu Dhabi,24.299174,54.697277,,,,Eastern Mediterranean,ARE
239,United Kingdom,London,51.507351,-0.127758,,46.0,,Europe,GBR
240,United States,Washington,38.907192,-77.036871,281.0,1009.0,49.0,Americas,USA
241,Uruguay,Montevideo,-34.901113,-56.164531,,,,Americas,URY
242,Uzbekistan,Tashkent,41.299496,69.240073,,,,Europe,UZB
243,Vanuatu,Port Vila,-17.733251,168.327325,,,,Western Pacific,VUT
249,Yemen,Sana'a,15.369445,44.191007,,,,Eastern Mediterranean,YEM
250,Zambia,Lusaka,-15.387526,28.322817,,,,Africa,ZMB
251,Zimbabwe,Harare,-17.825166,31.03351,,,,Africa,ZWE
